C/C,N/C,O/C,S/C,C/N,N/N,O/N,S/N,C/O,N/O,O/O,S/O,C/S,N/S,O/S,S/S,C/P,N/P,O/P,S/P,C/F,N/F,O/F,S/F,C/Cl,N/Cl,O/Cl,S/Cl,C/Br,N/Br,O/Br,S/Br,C/I,N/I,O/I,S/I,gauss1(inter),gauss2(inter),repulsion(inter),hydrophobic(inter),Hydrogen(inter),receptor-ligand
 2060.0000,  531.0000,  475.0000,   25.0000,  449.0000,  118.0000,   98.0000,    6.0000,  111.0000,   28.0000,   25.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   71.2175,  860.3886,    1.4307,   54.2882,    0.5496,  2yrq.pdbqt; Z223591710.pdbqt; 2yrq_pocket.pdbqt
 1978.0000,  511.0000,  482.0000,   34.0000,  155.0000,   45.0000,   38.0000,    2.0000,  443.0000,  112.0000,   96.0000,    7.0000,  130.0000,   31.0000,   28.0000,    2.0000,    0.0000,    0.0000,    0.0000,    0.0000,   81.0000,   20.0000,   18.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   76.3488,  945.6959,    1.5648,   47.9885,    1.5167,  2yrq.pdbqt; Z1166113024.pdbqt; 2yrq_pocket.pdbqt
 2536.0000,  663.0000,  599.0000,   35.0000,  389.0000,   94.0000,   84.0000,    6.0000,  382.0000,  104.0000,   90.0000,    6.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   71.6026, 1102.3467,    2.1141,   35.5825,    0.6949,  2yrq.pdbqt; Z70809471.pdbqt; 2yrq_pocket.pdbqt
 2153.0000,  555.0000,  456.0000,   24.0000,  269.0000,   67.0000,   56.0000,    3.0000,  166.0000,   37.0000,   32.0000,    2.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   60.7276,  844.6659,    0.9193,   49.4627,    1.3830,  2yrq.pdbqt; Z225107512.pdbqt; 2yrq_pocket.pdbqt
 1860.0000,  507.0000,  404.0000,   24.0000,  423.0000,  103.0000,   85.0000,    5.0000,  113.0000,   27.0000,   25.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   61.0975,  766.1517,    0.5067,   54.0643,    0.3580,  2yrq.pdbqt; Z1796716741.pdbqt; 2yrq_pocket.pdbqt
 2444.0000,  609.0000,  614.0000,   16.0000,  641.0000,  149.0000,  161.0000,    4.0000,  200.0000,   51.0000,   54.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   95.0000,   26.0000,   25.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   75.6514, 1157.4458,    0.8650,   24.8988,    0.1547,  2yrq.pdbqt; Z52683447.pdbqt; 2yrq_pocket.pdbqt
 2476.0000,  625.0000,  562.0000,   33.0000,  310.0000,   81.0000,   68.0000,    4.0000,  294.0000,   75.0000,   69.0000,    4.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   72.8631,  974.3306,    0.7780,   44.5865,    0.0000,  2yrq.pdbqt; Z89292243.pdbqt; 2yrq_pocket.pdbqt
 1822.0000,  444.0000,  460.0000,   10.0000,  708.0000,  170.0000,  162.0000,    5.0000,  312.0000,   74.0000,   75.0000,    3.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   86.0000,   22.0000,   22.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   75.4036,  946.2084,    1.6166,   27.6692,    3.2235,  2yrq.pdbqt; Z107201696.pdbqt; 2yrq_pocket.pdbqt
 2066.0000,  532.0000,  479.0000,   26.0000,  488.0000,  128.0000,  109.0000,    6.0000,  199.0000,   52.0000,   46.0000,    2.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   69.4764,  853.4398,    0.9929,   51.4783,    0.7428,  2yrq.pdbqt; Z1849817368.pdbqt; 2yrq_pocket.pdbqt
 2070.0000,  552.0000,  487.0000,   24.0000,  427.0000,  106.0000,   95.0000,    5.0000,  350.0000,   85.0000,   77.0000,    5.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   79.0000,   24.0000,   24.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   77.6832,  973.2709,    1.5773,   55.3213,    1.4608,  2yrq.pdbqt; Z25746349.pdbqt; 2yrq_pocket.pdbqt
 2028.0000,  500.0000,  478.0000,   31.0000,  439.0000,  112.0000,  101.0000,    7.0000,  199.0000,   54.0000,   47.0000,    2.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   73.1144,  902.7809,    0.6998,   44.6883,    0.0000,  2yrq.pdbqt; Z1632354617.pdbqt; 2yrq_pocket.pdbqt
 2354.0000,  606.0000,  526.0000,   32.0000,  632.0000,  161.0000,  133.0000,    8.0000,   84.0000,   25.0000,   20.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   74.0000,   18.0000,   21.0000,    2.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   81.8109, 1040.4624,    1.3268,   42.8090,    1.8060,  2yrq.pdbqt; Z229842200.pdbqt; 2yrq_pocket.pdbqt
 1453.0000,  395.0000,  353.0000,   15.0000,  674.0000,  172.0000,  165.0000,    9.0000,  109.0000,   27.0000,   25.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  246.0000,   74.0000,   65.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   81.4738,  944.8651,    2.1503,   44.2287,    2.2433,  2yrq.pdbqt; Z1037629664.pdbqt; 2yrq_pocket.pdbqt
 1684.0000,  443.0000,  407.0000,   19.0000,  497.0000,  137.0000,  131.0000,    6.0000,  110.0000,   32.0000,   31.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   81.9231,  844.1782,    1.1512,   28.4028,    1.1861,  2yrq.pdbqt; Z105734976.pdbqt; 2yrq_pocket.pdbqt
 1827.0000,  462.0000,  414.0000,   11.0000,  258.0000,   67.0000,   63.0000,    1.0000,  193.0000,   51.0000,   48.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   57.4628,  854.9499,    0.9277,   23.3110,    1.0944,  2yrq.pdbqt; Z3640840821.pdbqt; 2yrq_pocket.pdbqt
 1894.0000,  513.0000,  462.0000,   19.0000,  370.0000,   99.0000,   97.0000,    3.0000,  143.0000,   33.0000,   31.0000,    2.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   71.1371,  849.7221,    0.4157,   32.5194,    0.0000,  2yrq.pdbqt; Z353061930.pdbqt; 2yrq_pocket.pdbqt
 1825.0000,  451.0000,  421.0000,    8.0000,  304.0000,   77.0000,   82.0000,    0.0000,  356.0000,   94.0000,   72.0000,    3.0000,   99.0000,   24.0000,   20.0000,    1.0000,    0.0000,    0.0000,    0.0000,    0.0000,  253.0000,   68.0000,   76.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   62.6729, 1065.1960,    1.6776,   17.5050,    2.3100,  2yrq.pdbqt; Z2113294146.pdbqt; 2yrq_pocket.pdbqt
 2057.0000,  560.0000,  470.0000,   27.0000,  523.0000,  136.0000,  117.0000,    8.0000,  173.0000,   47.0000,   40.0000,    2.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   42.3515,  818.7738,    0.3460,   32.9694,    0.1483,  2yrq.pdbqt; Z987915406.pdbqt; 2yrq_pocket.pdbqt
 1781.0000,  494.0000,  439.0000,   19.0000,  414.0000,  109.0000,  101.0000,    6.0000,  282.0000,   72.0000,   68.0000,    3.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   64.8633,  859.0241,    0.9093,   44.6389,    0.8626,  2yrq.pdbqt; Z25717444.pdbqt; 2yrq_pocket.pdbqt
 2098.0000,  552.0000,  443.0000,   26.0000,  242.0000,   64.0000,   50.0000,    3.0000,  285.0000,   70.0000,   58.0000,    4.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   66.7600,  888.3478,    1.9101,   45.3528,    1.7540,  2yrq.pdbqt; Z1834399904.pdbqt; 2yrq_pocket.pdbqt
