predicted binding affinity,receptor-ligand
      5.6215,  2yrq.pdbqt; Z223591710.pdbqt; 2yrq_pocket.pdbqt
      5.8069,  2yrq.pdbqt; Z1166113024.pdbqt; 2yrq_pocket.pdbqt
      5.8891,  2yrq.pdbqt; Z70809471.pdbqt; 2yrq_pocket.pdbqt
      5.4635,  2yrq.pdbqt; Z225107512.pdbqt; 2yrq_pocket.pdbqt
      5.1737,  2yrq.pdbqt; Z1796716741.pdbqt; 2yrq_pocket.pdbqt
      6.4488,  2yrq.pdbqt; Z52683447.pdbqt; 2yrq_pocket.pdbqt
      5.5843,  2yrq.pdbqt; Z89292243.pdbqt; 2yrq_pocket.pdbqt
      5.8693,  2yrq.pdbqt; Z107201696.pdbqt; 2yrq_pocket.pdbqt
      5.8315,  2yrq.pdbqt; Z1849817368.pdbqt; 2yrq_pocket.pdbqt
      6.7626,  2yrq.pdbqt; Z25746349.pdbqt; 2yrq_pocket.pdbqt
      5.5551,  2yrq.pdbqt; Z1632354617.pdbqt; 2yrq_pocket.pdbqt
      6.8958,  2yrq.pdbqt; Z229842200.pdbqt; 2yrq_pocket.pdbqt
      6.3865,  2yrq.pdbqt; Z1037629664.pdbqt; 2yrq_pocket.pdbqt
      5.7369,  2yrq.pdbqt; Z105734976.pdbqt; 2yrq_pocket.pdbqt
      4.7328,  2yrq.pdbqt; Z3640840821.pdbqt; 2yrq_pocket.pdbqt
      4.9951,  2yrq.pdbqt; Z353061930.pdbqt; 2yrq_pocket.pdbqt
      5.7751,  2yrq.pdbqt; Z2113294146.pdbqt; 2yrq_pocket.pdbqt
      5.5039,  2yrq.pdbqt; Z987915406.pdbqt; 2yrq_pocket.pdbqt
      5.5614,  2yrq.pdbqt; Z25717444.pdbqt; 2yrq_pocket.pdbqt
      5.6113,  2yrq.pdbqt; Z1834399904.pdbqt; 2yrq_pocket.pdbqt
      4.8061,  2yrq.pdbqt; Z1590223339.pdbqt; 2yrq_pocket.pdbqt
      5.1461,  2yrq.pdbqt; Z312644560.pdbqt; 2yrq_pocket.pdbqt
      5.0008,  2yrq.pdbqt; Z1217487140.pdbqt; 2yrq_pocket.pdbqt
      5.5200,  2yrq.pdbqt; Z1165360501.pdbqt; 2yrq_pocket.pdbqt
      5.8665,  2yrq.pdbqt; Z89612410.pdbqt; 2yrq_pocket.pdbqt
      5.4209,  2yrq.pdbqt; Z915807884.pdbqt; 2yrq_pocket.pdbqt
      4.6395,  2yrq.pdbqt; Z106912730.pdbqt; 2yrq_pocket.pdbqt
      5.3652,  2yrq.pdbqt; Z1778577383.pdbqt; 2yrq_pocket.pdbqt
